,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
70,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:34:09+00:00,0.0,0.0,Neutral
71,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:34:04+00:00,0.0,0.0,Neutral
73,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:34:02+00:00,0.0,0.0,Neutral
74,RT @AoTJewels: Anime: Attack on Titan https://t.co/E9IntEK6WL,en,0,0,2021-11-16 20:34:02+00:00,0.0,0.0,Neutral
75,This last season of Attack on Titan needa hurry up and drop!!! &amp; if any of y’all manga readers spoil it for me I’m… https://t.co/aYi5DiCNVs,en,0,0,2021-11-16 20:34:02+00:00,0.06666666666666667,0.0,Neutral
76,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:33:59+00:00,0.0,0.0,Neutral
78,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:33:58+00:00,0.0,0.0,Neutral
79,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:33:58+00:00,0.0,0.0,Neutral
82,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:33:53+00:00,0.0,0.0,Neutral
83,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:33:46+00:00,0.0,0.0,Neutral
84,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:33:45+00:00,0.0,0.0,Neutral
