,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
13,"RT @MaheshS68098887: @RailMinIndia 1) RRB NTPC CBT1 RESULT
2) RRB GROUP D EXAM DATE
3) UPSC IRMS VACANCY
#RRBNTPC #RRB_GROUPD_EXAMDATE #con…",en,0,0,2021-11-17 18:30:56+00:00,0.0,0.0,Neutral
14,"RT @HritikV60817680: @TAlchemist12 We will take our rights....
#railway_groupd_examdate 
#ntpc_cbt1_result https://t.co/gggz7cqidl",en,0,0,2021-11-17 18:26:21+00:00,0.0,0.0,Neutral
15,@AshwiniVaishnaw @RailMinIndia @Bishweswar_Tudu NTPC result declare.....,en,0,0,2021-11-17 18:21:05+00:00,0.0,0.0,Neutral
16,"RT @MaheshS68098887: @RailMinIndia 1) RRB NTPC CBT1 RESULT
2) RRB GROUP D EXAM DATE
3) UPSC IRMS VACANCY
#RRBNTPC #RRB_GROUPD_EXAMDATE #con…",en,0,0,2021-11-17 18:20:24+00:00,0.0,0.0,Neutral
17,@RailwaySeva Pls ntpc result declare..,en,0,0,2021-11-17 18:19:48+00:00,0.0,0.0,Neutral
18,"IOCL and NTPC tied up to collaborate in Renewable Energy, an MoU is signed by both. A good step in the direction of energy.",en,0,0,2021-11-17 18:14:15+00:00,0.6000000000000001,0.7,Positive
19,@RailMinIndia # rrb ntpc results,en,0,0,2021-11-17 18:12:56+00:00,0.0,0.0,Neutral
20,"Rest Risers
#ITC Rises 1.72%
#NTPC up 1.60%
#IndusindBank Advances 1.28%
#TechMahindra gains 1.16%
#BajajFinance Rises 0.69%
#SBI up 0.62%",en,0,0,2021-11-17 18:07:29+00:00,0.0,0.0,Neutral
21,"We are celebrated world diabetes day.given health education
Beat diabetes - 
*Be aware
*Eat right
*Adopt an active… https://t.co/GBnozKLkOJ",en,0,0,2021-11-17 18:00:27+00:00,0.5119047619047619,0.29523809523809524,Positive
22,"RT @ClassesMd: #railway_groupd_examdate
Almost 3M tweets , PM and railway minister ji please understand , it's the matter of 1.26 crore stu…",en,0,0,2021-11-17 17:59:44+00:00,0.0,0.0,Neutral
23,"RT @ClassesMd: #railway_groupd_examdate
Almost 3M tweets , PM and railway minister ji please understand , it's the matter of 1.26 crore stu…",en,0,0,2021-11-17 17:59:40+00:00,0.0,0.0,Neutral
24,"RT @AmanAhm51250475: @ClassesMd @Everydaynew8 support tommorrow
#rrb_ntpc_result #RRBNTPC #railway_groupd_examdate",en,0,0,2021-11-17 17:58:58+00:00,0.0,0.0,Neutral
26,"@ClassesMd @Everydaynew8 support tommorrow
#rrb_ntpc_result #RRBNTPC #railway_groupd_examdate https://t.co/cnkVy6cFxY",en,0,1,2021-11-17 17:44:51+00:00,0.0,0.0,Neutral
31,"RT @shiv_niharika: #railway_ntpc_result
#railway_groupd_examdate 
#Restore_shivrajmeena123
Retweet kre ! https://t.co/a6A1aVFtHk",en,0,0,2021-11-17 17:31:14+00:00,0.0,0.0,Neutral
34,"RT @HritikV60817680: @TAlchemist12 We will take our rights....
#railway_groupd_examdate 
#ntpc_cbt1_result https://t.co/gggz7cqidl",en,0,0,2021-11-17 17:30:14+00:00,0.0,0.0,Neutral
