,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
RT @VishalJ62587798: @Trendmyfriends In future there may be situation where Nykaa business has to shut down or substitute can be easily cre…,en,0,0,2021-11-14 20:08:47+00:00,0.41574074074074074,0.0925925925925926,Positive
"RT @FanishSingh: Nykaa net profit at Rs 1.2 crore for last quarter 

TATA steel net profit at Rs 12,500 crore for last quarter.

Market cap…",en,0,0,2021-11-14 19:51:49+00:00,0.03333333333333333,0.0,Neutral
"RT @EconomicTimes: As #China undergoes stringent production cuts, its share of the world's #steel market is dropping paving the way for acc…",en,0,0,2021-11-14 19:38:24+00:00,0.0,0.0,Neutral
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 18:57:45+00:00,0.0,0.0,Neutral
RT @UttarandhraNow: #TATASteel shows 661% growth. #UANow https://t.co/ORo25kpj3x,en,0,0,2021-11-14 18:41:11+00:00,0.0,0.0,Neutral
Tatasteel Bsl Delisted. Shareholders will get 1 share of Tata Steel for every 15 shares of Tata Steel BSL.… https://t.co/LHO0EYPOJK,en,0,0,2021-11-14 18:37:49+00:00,0.0,0.0,Neutral
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 18:28:27+00:00,0.0,0.0,Neutral
"Nykaa net profit at Rs 1.2 crore for last quarter 

TATA steel net profit at Rs 12,500 crore for last quarter.

Mar… https://t.co/Uh999QNGVv",en,2,2,2021-11-14 18:20:52+00:00,0.03333333333333333,0.0,Neutral
"@Trendmyfriends and Tatasteel having lot of assets ,Lands, plants and many more",en,30,0,2021-11-14 17:56:04+00:00,0.5,0.5,Positive
"Department of Materials Sc. &amp; Metallurgical Engg., @IITHyderabad  wishes a Happy #NationalMetallurgistsDay2021 to a… https://t.co/htVWZMSGnv",en,0,0,2021-11-14 17:25:44+00:00,1.0,0.8,Positive
"@BalakrishnanR @tushi23 @Nataraj1974 Last when steel prices were at these levels, it was 2008; have you checked how… https://t.co/Goo82FGBUk",en,0,0,2021-11-14 17:23:14+00:00,0.06666666666666667,0.0,Neutral
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 17:00:36+00:00,0.0,0.0,Neutral
@Trendmyfriends In future there may be situation where Nykaa business has to shut down or substitute can be easily… https://t.co/Rowovj3oCQ,en,11,0,2021-11-14 17:00:12+00:00,0.20694444444444446,-0.07777777777777779,Negative
"RT @stoxbazar: #Nykaa net profit at Rs 1.2 crore for last quarter 

#tatasteel  net profit at Rs 12,500 crore for last quarter.

Market cap…",en,0,0,2021-11-14 16:07:51+00:00,0.03333333333333333,0.0,Neutral
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 16:03:46+00:00,0.0,0.0,Neutral
"RT @stoxbazar: #Nykaa net profit at Rs 1.2 crore for last quarter 

#tatasteel  net profit at Rs 12,500 crore for last quarter.

Market cap…",en,0,0,2021-11-14 16:00:06+00:00,0.03333333333333333,0.0,Neutral
"RT @stoxbazar: #Nykaa net profit at Rs 1.2 crore for last quarter 

#tatasteel  net profit at Rs 12,500 crore for last quarter.

Market cap…",en,0,0,2021-11-14 15:58:52+00:00,0.03333333333333333,0.0,Neutral
"#Nykaa net profit at Rs 1.2 crore for last quarter 

#tatasteel  net profit at Rs 12,500 crore for last quarter.

M… https://t.co/QmPr5FJFfF",en,4,3,2021-11-14 15:55:02+00:00,0.03333333333333333,0.0,Neutral
"3)TATA Steel BSL
   CMP:85
   Target 🎯 Price :109
    Total gain:28% 🚀

#nmdc
#tatasteel
#SwingTrading 
@wizard_untamed",en,1,0,2021-11-14 15:38:13+00:00,0.75,0.0,Neutral
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 15:19:39+00:00,0.0,0.0,Neutral
"We own old industries like JSW steel,Tatasteel,Dalmia(for decades)

But that doesn't mean I hate new age business.… https://t.co/4M4vUcKh57",en,21,0,2021-11-14 15:12:42+00:00,0.6484090909090909,-0.05522727272727275,Negative
RT @ETNOWlive: #EarningsWithETNOW | Tata Steel top boss TV Narendran on how Europe business EBTIDA doubled in Q2 and why it is expected to…,en,0,0,2021-11-14 14:07:57+00:00,0.45,0.2,Positive
